illustr		103		99		26017		102
exampl		214		197		26120		200
given		437		360		26321		363
wegstein j h		4		4		26685		7
ca580602		1		1		26693		4
909		7		7		26698		10
formul		42		34		26709		37
flow		91		45		26747		48
diagram		30		16		26796		19
voorhees e a		3		3		26816		6
ca580601		1		1		26823		4
910		7		7		26828		10
unusu		8		8		26839		11
applic		351		276		26851		279
implement		351		250		27131		253
logic		140		89		27385		92
morris e f		1		1		27478		4
wohr t e		1		1		27483		4
ca580506		1		1		27488		4
911		4		4		27493		7
binari		153		86		27501		89
truth		3		3		27591		6
function		655		388		27598		391
decim		41		21		27990		24
command		60		37		28015		40
kautz w h		2		2		28056		5
ca580505		1		1		28062		4
912		4		4		28067		7
improv		147		113		28075		116
redund		40		26		28192		29
check		50		35		28222		38
sisson r l		1		1		28261		4
ca580504		1		1		28266		4
913		6		6		28271		9
gener		848		538		28281		541
purpos		140		125		28823		128
holt a w		2		2		28952		5
ca580503		1		1		28958		4
914		6		6		28963		9
subroutin		78		54		28973		57
calcul		132		98		29031		101
logarithm		26		21		29133		24
bemer r w		12		12		29158		15
ca580502		1		1		29174		4
916		4		4		29179		7
note		104		97		29187		100
empir		48		43		29288		46
bound		120		77		29335		80
bessel		26		20		29416		23
randels j b		1		1		29440		4
ca580501		1		1		29445		4
917		6		6		29450		9
request		62		38		29460		41
april		302		302		29502		305
corley h p t		1		1		29808		4
ca580402		1		1		29813		4
918		6		6		29818		9
algorithm		2009		1328		29828		1331
selden w		1		1		31160		4
ca580401		1		1		31165		4
919		6		6		31170		9
analyz		120		93		31180		96
statement		157		85		31277		88
produc		121		104		31366		107
tabl		294		115		31474		118
wolpe h		1		1		31593		4
ca580302		1		1		31598		4
920		9		9		31603		12
ibm		117		93		31616		96
704		6		6		31713		9
nundrum		1		1		31723		4
grumette m		1		1		31728		4
ca580301		1		1		31733		4
921		7		7		31738		10
variabl		239		153		31749		156
width		16		3		31906		6
search		330		135		31913		138
facil		91		67		32052		70
februari		1011		949		32123		952
halpern m		1		1		33076		4
ca580201		1		1		33081		4
922		10		10		33086		13
counter		9		8		33100		11
type		226		141		33112		144
650		10		9		33257		12
januari		934		886		33270		889
kenny b c		1		1		34160		4
hunter j a		1		1		34165		4
ca580103		1		1		34170		4
925		8		8		34175		11
wilf h s		1		1		34187		4
ca580102		1		1		34192		4
926		7		7		34197		10
ca580101		1		1		34208		4
927		7		7		34213		10
queue		56		30		34224		33
network		239		87		34258		90
simul		304		132		34349		135
burrough		7		7		34485		10
220		15		15		34496		18
1959		68		68		34515		71
conway r w		6		6		34587		9
johnson b m		1		1		34597		4
maxwell w l		4		4		34602		7
ca591206		1		1		34610		4
335		10		10		34615		13
impact		32		22		34629		25
develop		361		286		34655		289
humphrey s m		1		1		34945		4
ca591205		1		1		34950		4
336		18		18		34955		21
interpret		90		57		34977		60
algol		195		128		35038		131
irons e t		8		8		35170		11
acton f s		3		3		35182		6
ca591204		1		1		35189		4
337		16		16		35194		19
simultan		60		50		35214		53
nonlinear		59		34		35268		37
necessarili		13		13		35306		16
linear		253		158		35323		161
singl		84		76		35485		79
wolfe p		1		1		35565		4
ca591203		1		1		35570		4
339		14		14		35575		17
finger		1		1		35593		4
fist		1		1		35598		4
choic		53		34		35603		37
represent		154		101		35641		104
number		584		371		35746		374
offer		32		27		36121		30
advantag		89		79		36152		82
high		109		87		36235		90
perform		327		206		36326		209
greater		27		25		36536		28
simplic		15		14		36565		17
unit		63		49		36583		52
compact		46		26		36636		29
contribut		20		18		36666		21
directli		39		39		36688		42
speed		89		72		36731		75
obviou		11		10		36807		13
import		109		97		36821		100
wai		110		101		36922		104
address		153		80		37027		83
instruct		136		73		37111		76
format		78		52		37188		55
increas		96		86		37244		89
overal		23		22		37334		25
essenti		39		38		37360		41
power		89		75		37402		78
practic		101		86		37481		89
		1033		702		37571		705
hand		28		25		38277		28
man		41		31		38306		34
requir		391		295		38341		298
larg		214		180		38640		183
volum		17		14		38824		17
inher		19		17		38842		20
input		207		137		38863		140
output		128		91		39004		94
data		949		419		39099		422
time		852		437		39522		440
convers		103		72		39963		75
need		64		60		40039		63
pure		10		9		40103		12
signific		86		65		40116		68
slower		9		9		40185		12
adder		4		3		40198		6
take		52		50		40205		53
fast		86		64		40259		67
addit		129		118		40327		121
care		14		12		40449		15
review		39		36		40465		39
supplement		7		7		40505		10
effici		282		220		40516		223
buchholz w		1		1		40740		4
ca591202		1		1		40745		4
347		7		7		40750		10
research		101		70		40761		73
eastern		2		2		40835		5
europ		3		3		40841		6
nadler m		4		4		40848		7
ca591201		1		1		40856		4
348		5		5		40861		8
new		271		219		40870		222
divis		61		36		41093		39
sarafyan d		2		2		41133		5
ca591106		1		1		41139		4
350		49		49		41144		52
handl		95		81		41197		84
macro		48		29		41282		32
greenwald i d		2		2		41315		5
ca591105		1		1		41321		4
351		34		34		41326		37
runcibl		1		1		41364		4
translat		155		95		41369		98
limit		102		86		41468		89
knuth d e		11		11		41558		14
ca591104		1		1		41573		4
352		17		17		41578		20
outlin		53		50		41599		53
substitut		23		15		41653		18
chart		12		11		41672		14
gant w t		1		1		41687		4
ca591103		1		1		41692		4
353		18		18		41697		21
multiprogram		136		75		41719		78
stretch		4		2		41798		5
feasibl		27		24		41804		27
consider		67		65		41832		68
tendenc		3		3		41901		6
parallel		168		78		41908		81
exploit		11		11		41990		14
present		627		518		42005		521
design		505		299		42527		302
minimum		77		58		42830		61
success		46		42		42892		45
concurr		37		27		42938		30
execut		211		130		42969		133
independ		103		75		43103		78
met		4		4		43182		7
carefulli		7		7		43190		10
balanc		48		25		43201		28
combin		121		96		43230		99
built		20		20		43330		23
describ		612		506		43354		509
place		44		41		43864		44
burden		2		2		43909		5
supervisori		11		7		43915		10
compil		344		187		43926		190
codd e f		4		4		44117		7
lowry e s		2		2		44125		5
mcdonough e		1		1		44131		4
scalzi c a		1		1		44136		4
ca591102		1		1		44141		4
357		17		17		44146		20
russian		1		1		44167		4
visit		6		6		44172		9
u		11		8		44182		11
zaitzeff e m		1		1		44194		4
astrahan m m		2		2		44199		5
ca591101		1		1		44205		4
359		21		21		44210		24
shift		35		16		44235		19
regist		47		26		44255		29
index		110		52		44285		55
n		227		121		44341		124
10		180		173		44466		176
call		125		108		44643		111
64		13		10		44755		13
wireless		1		1		44769		4
telemet		2		1		44774		4
station		11		5		44779		8
fix		78		57		44788		60
cyclic		16		9		44849		12
order		284		176		44862		179
degre		59		49		45042		52
permit		103		90		45095		93
correct		177		101		45189		104
distanc		13		12		45294		15
three		146		116		45310		119
bit		113		64		45430		67
word		136		80		45498		83
emploi		62		55		45582		58
identif		27		20		45641		23
embed		20		16		45665		19
period		42		31		45685		34
1023		6		6		45720		9
punctuat		1		1		45730		4
receiv		24		17		45735		20
simpli		15		15		45756		18
put		11		11		45775		14
on		26		22		45790		25
zero		56		38		45816		41
aris		29		29		45858		32
identifi		65		54		45891		57
particular		122		111		45949		114
bar		1		1		46064		4
tuitou		1		1		46069		4
low		40		36		46074		39
probabl		82		64		46114		67
properti		134		95		46182		98
detail		111		101		46281		104
find		119		92		46386		95
ural		2		2		46482		5
soviet		8		5		46488		8
drum		45		21		46497		24
donat		1		1		46522		4
indian		1		1		46527		4
statist		125		81		46532		84
institut		23		16		46617		19
nation		31		24		46637		27
technic		21		19		46665		22
aid		88		67		46688		70
administr		26		16		46759		19
untaa		1		1		46779		4
sengupta a		1		1		46784		4
ca591011		1		1		46789		4
407		6		6		46794		9
scientif		26		23		46804		26
busi		48		29		46831		32
oracl		2		2		46864		5
plotter		14		11		46870		14
fike c t		2		2		46885		5
ca591010		1		1		46891		4
408		10		10		46896		13
ii		60		53		46910		56
hamblen j w		5		5		46967		8
ca591009		1		1		46976		4
409		10		10		46981		13
construct		189		137		46995		140
micro		4		3		47136		6
flowchart		51		25		47143		28
gorn s		7		7		47172		10
ingerman p z		8		8		47183		11
crozier j b		1		1		47195		4
ca591008		1		1		47200		4
410		29		29		47205		32
uniformli		8		8		47238		11
distribut		240		119		47250		122
point		259		162		47373		165
surfac		82		32		47539		35
dimension		78		49		47575		52
sphere		7		7		47628		10
corrigendum		34		34		47639		37
cook j m		1		1		47677		4
ca591007		1		1		47682		4
412		132		132		47687		135
recommend		38		25		47823		28
share		232		122		47852		125
committe		38		27		47978		30
ca591006		1		1		48009		4
413		40		40		48014		43
sale		2		2		48058		5
brittenham w r		1		1		48064		4
clark k		1		1		48069		4
kuss g		1		1		48074		4
thompson h		1		1		48079		4
smith a o		1		1		48084		4
ca591005		1		1		48089		4
414		10		10		48094		13
kaner h		1		1		48108		4
ca591004		1		1		48113		4
415		7		7		48118		10
standard		241		153		48129		156
symbol		174		104		48286		107
ca591003		1		1		48394		4
416		8		8		48399		11
j		54		46		48411		49
center		46		33		48461		36
ca591002		1		1		48498		4
417		7		7		48503		10
lem		1		1		48514		4
small		111		89		48519		92
size		155		106		48612		109
magnet		25		21		48722		24
ferrit		3		2		48747		5
element		92		68		48753		71
paper		532		443		48825		446
examin		105		84		49272		87
question		92		51		49360		54
contactless		1		1		49415		4
capacit		6		5		49420		8
dezu		1		1		49429		4
long		32		30		49434		33
durat		3		3		49468		6
memori		424		168		49475		171
laboratori		27		22		49647		25
electr		5		4		49673		7
model		436		182		49681		185
vinityi		1		1		49867		4
sssr		1		1		49872		4
supervis		3		3		49877		6
professor		2		2		49884		5
l		21		17		49890		20
gutenmach		1		1		49911		4
machmudov u a		1		1		49916		4
ca591001		1		1		49921		4
421		17		17		49926		20
survei		48		39		49947		42
progress		22		18		49990		21
trend		10		10		50012		13
manag		169		102		50026		105
control		329		192		50132		195
feder		4		4		50328		7
govern		37		19		50336		22
1957		3		3		50359		6
iii		34		26		50366		29
ca590910		1		1		50396		4
441		50		50		50401		53
alpha		5		4		50455		7
vector		48		37		50463		40
constraint		54		42		50504		45
wersan s j		1		1		50550		4
ca590909		1		1		50555		4
442		32		32		50560		35
709		4		4		50596		7
tape		88		57		50604		60
hornick s d		1		1		50665		4
ca590908jb		1		1		50670		4
443		18		18		50675		21
multi		29		26		50697		29
least		93		72		50727		75
polynomi		204		124		50803		127
lesh f h		1		1		50931		4
ca590907		1		1		50936		4
444		7		7		50941		10
octal		5		3		50952		6
concept		139		110		50959		113
date		22		17		51073		20
back		24		14		51094		17
genesi		1		1		51112		4
circa		2		2		51117		5
5000		3		3		51123		6
year		47		43		51130		46
ago		4		3		51177		6
4800		1		1		51184		4
deriv		174		123		51189		126
chines		8		4		51316		7
ancient		2		2		51324		5
triniti		1		1		51330		4
modern		9		8		51335		11
electron		27		20		51347		23
li s t		1		1		51371		4
ca590906		1		1		51376		4
447		7		7		51381		10
remark		33		33		51392		36
manipul		164		112		51429		115
green j		4		4		51545		7
ca590905		1		1		51553		4
sub		3		3		51558		6
extens		139		119		51565		122
dijkstra e w		7		7		51688		10
heise w		1		1		51699		4
perlis j a		1		1		51704		4
samelson k		3		3		51709		6
ca590904		1		1		51716		4
449		68		68		51721		71
card		34		18		51793		21
256		6		6		51815		9
charact		149		85		51825		88
ca590903		1		1		51914		4
450		10		10		51919		13
central		41		31		51933		34
european		3		3		51968		6
blachman n m		2		2		51975		5
ca590902		1		1		51981		4
452		6		6		51986		9
role		22		21		51996		24
univers		93		64		52021		67
relat		208		145		52089		148
field		78		58		52238		61
studi		164		128		52300		131
made		138		130		52432		133
state		122		75		52566		78
close		41		31		52645		34
polici		45		24		52680		27
organ		192		112		52708		115
faculti		11		7		52824		10
student		85		48		52835		51
curricula		14		9		52887		12
equip		29		25		52900		28
financ		1		1		52929		4
investig		51		45		52934		48
integr		322		188		52983		191
reflect		20		16		53175		19
convict		1		1		53195		4
activ		87		60		53200		63
disciplin		28		11		53264		14
legitim		1		1		53279		4
provinc		1		1		53284		4
scholar		1		1		53289		4
graduat		34		20		53294		23
school		28		20		53318		23
scienc		154		63		53342		66
fein l		1		1		53409		4
ca590901		1		1		53414		4
605		3		3		53419		6
collect		89		54		53426		57
brief		24		23		53484		26
descript		141		112		53511		115
ca590804		1		1		53627		4
607		2		2		53632		5
set		444		264		53638		267
test		239		160		53906		163
matric		117		71		54070		74
us		162		146		54145		149
determin		201		164		54295		167
accuraci		55		41		54463		44
routin		83		67		54508		70
invers		103		75		54579		78
andor		23		20		54658		23
eigenvalu		54		34		54682		37
aegerter m j		1		1		54720		4
ca590803		1		1		54725		4
609		4		4		54730		7
involv		109		101		54738		104
assist		39		27		54843		30
prepar		41		34		54874		37
scale		55		45		54912		48
real		157		101		54961		104
capabl		101		72		55066		75
varieti		57		53		55142		56
have		31		29		55199		32
characterist		120		90		55232		93
similar		83		71		55326		74
basic		137		108		55401		111
assumpt		32		28		55513		31
random		190		99		55545		102
access		169		96		55648		99
storag		500		261		55748		264
avail		106		94		56013		97
avoid		42		38		56111		41
necess		7		7		56153		10
segment		99		49		56164		52
fashion		8		8		56217		11
trivial		5		4		56229		7
unrealist		1		1		56237		4
intend		24		24		56242		27
opportun		14		9		56270		12
concentr		10		10		56283		13
aspect		62		55		56297		58
stress		10		10		56356		13
discoveri		5		5		56370		8
sourc		75		53		56379		56
possibl		160		146		56436		149
attempt		53		52		56586		55
object		158		111		56642		114
advoc		3		3		56757		6
interrupt		27		14		56764		17
indirect		10		7		56782		10
bagley p r		2		2		56793		5
ca590802		1		1		56799		4
616		2		2		56804		5
educ		114		60		56810		63
hollingsworth j		2		2		56874		5
ca590801		1		1		56880		4
618		3		3		56885		6
assimil		1		1		56892		4
gschwind h w		1		1		56897		4
ca590705		1		1		56902		4
619		2		2		56907		5
sort		196		80		56913		83
shell d l		3		3		56997		6
ca590704		1		1		57004		4
620		29		29		57009		32
paramet		110		75		57042		78
chow w m		1		1		57121		4
ca590703		1		1		57126		4
622		13		13		57131		16
precis		87		57		57148		60
fraction		22		19		57209		22
taranto d		1		1		57232		4
ca590702		1		1		57237		4
623		5		5		57242		8
gat		1		1		57251		4
arden b		2		2		57256		5
graham r		2		2		57262		5
ca590701		1		1		57268		4
624		1		1		57273		4
valu		249		140		57278		143
concern		63		61		57422		64
ordinari		56		41		57487		44
differenti		121		70		57532		73
appar		6		6		57606		9
sequenti		65		40		57616		43
analog		19		16		57660		19
solv		131		100		57680		103
initi		63		46		57784		49
boundari		64		34		57834		37
mathemat		148		94		57872		97
found		80		69		57970		72
compens		3		2		58043		5
inadequaci		7		6		58049		9
imperfect		2		2		58059		5
cours		89		39		58065		42
normal		123		81		58108		84
numer		232		161		58193		164
analyst		8		6		58358		9
devic		88		69		58368		72
establish		43		39		58441		42
framework		25		22		58484		25
idea		42		35		58510		38
wouk a		1		1		58549		4
ca590606		1		1		58554		4
630		8		8		58559		11
extend		84		69		58571		72
mechan		121		79		58644		82
schecher h		1		1		58727		4
ca590605		1		1		58732		4
631		5		5		58737		8
critic		37		32		58746		35
rotat		32		17		58782		20
flexibl		48		45		58803		48
shaft		1		1		58852		4
schwartz b l		1		1		58857		4
ca590604		1		1		58862		4
635		35		34		58867		37
norc		1		1		58905		4
printer		8		7		58910		10
gleissner g h		1		1		58921		4
ca590603		1		1		58926		4
636		8		8		58931		11
processor		177		86		58943		89
orient		86		64		59033		67
programm		95		63		59101		66
williams f a		2		2		59168		5
ca590602		1		1		59174		4
638		3		3		59179		6
union		13		11		59186		14
carr		6		6		59201		9
w		35		34		59211		37
ca590601		1		1		59249		4
639		4		4		59254		7
ca590406		2		2		59262		5
ca590502		1		1		59268		4
642		2		2		59273		5
analysi		460		276		59279		279
float		63		29		59559		32
ca590501		1		1		59592		4
643		4		4		59597		7
congress		2		2		59605		5
648		3		3		59611		6
ca590405		1		1		59618		4
hicks j s		1		1		59623		4
wheeling r f		3		3		59628		6
ca590404		1		1		59635		4
710		3		3		59640		6
coeffici		76		60		59647		63
larson e h		1		1		59711		4
marshall d p		1		1		59716		4
ca590403		1		1		59721		4
712		3		3		59726		6
discret		46		34		59733		37
length		117		77		59771		80
serial		27		22		59852		25
ercoli p		1		1		59878		4
vacca r		1		1		59883		4
ca590402		1		1		59888		4
713		4		4		59893		7
gilman r e		1		1		59901		4
ca590401		1		1		59906		4
714		3		3		59911		6
checklist		1		1		59918		4
intellig		43		37		59923		40
variat		42		29		59964		32
exist		101		90		59997		93
sophist		20		20		60091		23
variou		125		118		60115		121
manifest		3		3		60237		6
jungl		1		1		60244		4
assort		2		2		60249		5
reproduc		5		4		60255		7
human		59		38		60263		41
decis		195		66		60305		69
begin		18		18		60375		21
systemat		21		18		60397		21
classif		24		22		60419		25
make		122		112		60445		115
demonstr		60		59		60561		62
highli		32		31		60624		34
desir		53		51		60659		54
futur		54		47		60714		50
ca590304		1		1		60765		4
801		3		3		60770		6
formula		109		63		60777		66
enabl		39		35		60844		38
ca590303		1		1		60883		4
803		3		3		60888		6
logist		3		2		60895		5
best		72		52		60901		55
howell j		3		3		60957		6
ca590302		1		1		60964		4
804		3		3		60969		6
elimin		85		60		60976		63
special		121		107		61040		110
contain		94		85		61151		88
tabular		14		11		61240		14
expand		18		18		61255		21
satisfi		43		40		61277		43
suffici		51		45		61321		48
trigonometr		5		4		61370		7
exponenti		68		50		61378		53
transcendent		11		9		61432		12
powers j e		1		1		61445		4
ca590301		1		1		61450		4
808		4		4		61455		7
radiat		3		2		61463		5
rel		94		82		61469		85
merit		19		14		61555		17
cost		157		102		61573		105
four		61		51		61679		54
evalu		232		159		61734		162
typic		38		37		61897		40
spheric		6		6		61938		9
desk		1		1		61948		4
finit		72		52		61953		55
seri		127		85		62009		88
appropri		44		42		62098		45
reev		1		1		62144		4
litton		1		1		62149		4
40		68		67		62154		70
result		375		298		62225		301
separ		61		51		62527		54
helmholtz		1		1		62582		4
wave		33		12		62587		15
hansen r c		1		1		62603		4
bailin l l		1		1		62608		4
rutishauser r w		1		1		62613		4
ca590205		1		1		62618		4
816		5		5		62623		8
signal		21		19		62632		22
corp		1		1		62655		4
luebbert		1		1		62660		4
capt		2		1		62665		4
f		52		35		62670		38
collom		1		1		62709		4
jr		101		97		62714		100
p		32		26		62815		29
ca590204		1		1		62845		4
819		6		6		62850		9
fortran		212		132		62860		135
sheridan p b		1		1		62996		4
ca590203		1		1		63001		4
821		5		5		63006		8
ca590202		1		1		63015		4
822		4		4		63020		7
subscript		15		14		63028		17
list		333		146		63046		149
ca590201		1		1		63196		4
823		3		3		63201		6
nuclear		4		3		63208		6
reactor		6		3		63215		6
nather v		2		2		63222		5
sangren w		5		5		63228		8
ca590101		1		1		63237		4
824		3		3		63242		6
comparison		116		85		63249		88
1960		145		144		63338		147
curtz t b		1		1		63486		4
riordan j f		1		1		63491		4
spohnm		1		1		63496		4
ca601214		1		1		63501		4
20		243		241		63506		244
cope		5		4		63751		7
consol		27		15		63759		18
profici		6		3		63778		6
complex		231		163		63785		166
depend		73		64		63952		67
skill		10		7		64020		10
experi		136		101		64031		104
select		122		89		64136		92
train		20		15		64229		18
qualifi		5		5		64248		8
grow		20		20		64257		23
difficult		35		33		64281		36
meet		22		16		64318		19
quick		6		6		64338		9
accur		33		28		64348		31
uniform		36		29		64380		32
author		48		44		64413		47
specif		173		132		64461		135
705		3		3		64597		6
record		138		73		64604		76
coordin		42		25		64681		28
farbman d		1		1		64710		4
ketover r		1		1		64715		4
ca601213		1		1		64720		4
character		24		22		64725		25
movement		5		5		64751		8
randomli		6		6		64760		9
arriv		17		15		64770		18
item		70		46		64789		49
interact		154		89		64839		92
channel		19		13		64932		16
util		121		92		64949		95
common		88		68		65045		71
approach		164		134		65117		137
physic		47		36		65255		39
princip		22		18		65295		21
portion		26		24		65317		27
packag		42		26		65345		29
plant		1		1		65375		4
optim		299		155		65380		158
capac		17		15		65539		18
air		4		4		65558		7
traffic		22		12		65566		15
compar		150		127		65582		130
effect		183		151		65713		154
altern		73		61		65868		64
moore c j		1		1		65933		4
lewis t s		2		2		65938		5
ca601212		1		1		65944		4
627		1		1		65949		4
price r a		1		1		65954		4
jardins p d		1		1		65959		4
ca601211		1		1		65964		4
628		2		2		65969		5
overlap		23		12		65975		15
erasur		3		1		65991		4
newel		2		2		65996		5
shaw		2		2		66002		5
simon		2		2		66008		5
multipl		144		97		66014		100
occurr		20		17		66115		20
store		148		98		66136		101
unfortun		4		4		66238		7
pose		14		9		66246		12
subsequ		26		18		66259		21
longer		12		11		66281		14
eras		2		2		66296		5
lisp		69		41		66302		44
mccarthi		1		1		66347		4
eleg		8		8		66352		11
ineffici		9		9		66364		12
interspers		3		3		66377		6
refer		121		73		66384		76
count		37		22		66461		25
extent		20		18		66487		21
collins g e		2		2		66509		5
ca601210		1		1		66515		4
633		10		10		66520		13
pope d a		2		2		66534		5
stein m l		3		3		66540		6
ca601209		1		1		66547		4
634		19		19		66552		22
project		80		50		66575		53
mercuri		2		2		66629		5
dimsdale b		1		1		66635		4
weinberg g m		4		4		66640		7
ca601208		1		1		66648		4
ex		5		4		66653		7
lubkin s		1		1		66661		4
ca601207		1		1		66666		4
637		4		4		66671		7
fibonaccian		4		2		66679		5
ferguson d e		3		3		66685		6
ca601206		1		1		66692		4
rule		198		106		66697		109
bairstow		8		7		66807		10
raphson		9		7		66818		10
great		17		14		66829		17
reliabl		50		36		66847		39
rapid		28		24		66887		27
realiz		22		21		66915		24
pitfal		4		4		66940		7
show		91		84		66948		87
circumv		3		3		67036		6
ellenberger k w		2		2		67043		5
ca601205		1		1		67049		4
641		3		3		67054		6
30		86		84		67061		87
ca601204		1		1		67149		4
644		2		2		67154		5
ca601203		1		1		67160		4
punch		20		13		67165		16
smith h j		1		1		67182		4
ca601202		1		1		67187		4
645		5		5		67192		8
structur		641		314		67201		317
ca601201		1		1		67519		4
646		4		4		67524		7
sumador		3		1		67532		4
chino		3		1		67537		4
recent		70		65		67542		68
motor		1		1		67611		4
trip		5		5		67616		8
mexico		1		1		67625		4
writer		14		10		67630		13
came		2		2		67644		5
ad		43		39		67650		42
literatur		26		24		67693		27
histori		32		24		67721		27
instrument		9		8		67749		11
uncov		1		1		67761		4
enlist		1		1		67766		4
help		23		17		67771		20
member		19		16		67792		19
bring		8		8		67812		11
light		16		13		67824		16
known		85		79		67841		82
evolut		14		10		67924		13
statu		16		12		67938		15
rogers j l		1		1		67954		4
ca601119		1		1		67959		4
nagler h		1		1		67964		4
ca601118		1		1		67969		4
651		3		3		67974		6
scan		57		29		67981		32
7070		1		1		68014		4
speckhard a e		2		2		68019		5
ca601117		1		1		68025		4
652		4		4		68030		7
andrus j f		1		1		68038		4
ca601116		1		1		68043		4
653		3		3		68048		6
sefton p		1		1		68055		4
vaillancourt r		1		1		68060		4
ca601115		1		1		68065		4
657		4		4		68070		7
label		26		18		68078		21
holt a		1		1		68100		4
ca601114		1		1		68105		4
658		2		2		68110		5
circl		11		9		68116		12
dewitte l		1		1		68129		4
ca601113		1		1		68134		4
659		4		4		68139		7
neliac		13		4		68147		7
base		315		219		68155		222
navi		3		3		68378		6
san		4		4		68385		7
diego		2		2		68393		5
california		7		7		68399		10
aboot		1		1		68410		4
strap		1		1		68415		4
remington		2		2		68420		5
rand		7		6		68426		9
univac		12		10		68436		13
countess		2		1		68450		4
version		44		37		68455		40
run		110		84		68496		87
corpor		14		10		68584		13
cdc		22		18		68598		21
1604		4		3		68620		6
accept		42		35		68627		38
ident		15		15		68666		18
masterson		1		1		68685		4
k		53		21		68690		24
s		44		31		68715		34
ca601112		1		1		68750		4
703		2		2		68755		5
assign		87		66		68761		69
briefli		35		35		68831		38
carri		27		27		68870		30
silver r		2		2		68901		5
ca601111		1		1		68907		4
29		52		52		68912		55
mackinney j g		2		2		68968		5
ca601110		1		1		68974		4
706		5		5		68979		8
orthogon		42		32		68988		35
28		127		125		69024		128
ca601109		1		1		69153		4
708		2		2		69158		5
27		126		124		69164		127
ca601108		1		1		69292		4
rootfind		7		7		69297		10
26		50		50		69308		53
herroit j g		1		1		69362		4
ca601107		1		1		69367		4
757		1		1		69372		4
15		148		143		69377		146
forsythe g e		7		7		69524		10
herriot j g		3		3		69535		6
ca601106		1		1		69542		4
759		4		4		69547		7
arbitrari		55		51		69555		54
25		18		18		69610		21
leavenworth b		3		3		69632		6
ca601105		1		1		69639		4
800		5		5		69644		8
tri		6		6		69653		9
diagon		11		7		69663		10
24		56		56		69674		59
ca601104		1		1		69734		4
math		3		3		69739		6
23		208		206		69746		209
feurzeig w		4		4		69956		7
ca601103		1		1		69964		4
riccati		2		2		69969		5
second		90		77		69975		80
oser h		1		1		70056		4
